name,price,discount,memory,display,camera,battery,warranty,processor
"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹20,999",18% off,4 GB RAM | 128 GB ROM | Expandable Upto 1500 GB,17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"CMF by Nothing Phone 2 Pro (White, 256 GB)","₹35,999",22% off,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty,Dimensity 7300 Pro 5G Processor
"Samsung Galaxy S24 FE 5G (Blue, 128 GB)","₹11,999",37% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 12MP | 10MP Front Camera,4700 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400e Processor
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹20,999",31% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"CMF by Nothing Phone 2 Pro (Black, 256 GB)",₹998,13% off,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB,17.2 cm (6.77 inch) Display,50MP + 50MP + 8MP | 16MP Front Camera,5000 mAh Battery,1 Year Manufacturing Warranty,Dimensity 7300 Pro 5G Processor
Kechaoda K115,"₹17,499",40% off,32 MB RAM | 32 GB ROM | Expandable Upto 32 MB,3.66 cm (1.44 inch) NA Display,0.3MP + 0MP | 0MP Front Camera,850 mAh Battery,1 Year Manufacturer Warranty,NA Processor
"Samsung Galaxy F36 5G (Violet, 128 GB)","₹18,999",28% off,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Samsung Galaxy F36 5G (Black, 128 GB)","₹14,999",32% off,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"POCO M7 Pro 5G (Olive Twilight, 256 GB)","₹79,999",37% off,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 20MP Front Camera,5110 mAh Battery,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,Dimensity 7025 Ultra Processor
"Apple iPhone 16 (White, 256 GB)","₹13,499",14% off,256 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,48MP + 12MP | 12MP Front Camera,"A18 Chip, 6 Core Processor Processor",1 year warranty for phone and 1 year warranty for in Box Accessories.,"A18 Chip, 6 Core Processor Processor"
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹18,999",1% off,8 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹19,999",37% off,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery,1 Year on Handset and 6 Months on Accessories,7s Gen 2 Processor
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹11,999",17% off,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 5MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Samsung Exynos 1380 Processor
"Samsung Galaxy F16 5G (Vibing Blue, 128 GB)",₹966,32% off,6 GB RAM | 128 GB ROM,16.91 cm (6.657 inch) Full HD+ Display,50MP + 5MP + 2MP | 13MP Front Camera,5000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Dimensity 6300 Processor
Nokia 105 Classic with Charger,"₹26,280",41% off,32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) Display,0MP Front Camera,800 mAh Battery,No Warranty on this Product,SC6531E Processor
"OnePlus Nord CE5 5G (Nexus Blue, 256 GB)","₹46,999",7% off,8 GB RAM | 256 GB ROM,17.2 cm (6.77 inch) Display,50MP Rear Camera,7100 mAh Battery,1 Year Warranty,7100 mAh Battery
"Samsung Galaxy S24 5G (Amber Yellow, 128 GB)","₹1,74,999",8% off,8 GB RAM | 128 GB ROM,15.75 cm (6.2 inch) Full HD+ Display,50MP + 10MP + 12MP | 12MP Front Camera,4000 mAh Battery,1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,Exynos 2400 Processor
